!SIL 1.0	sil
<UNK> 1.0	spn
ograł	1.0	o g r a w
zastosujemy	1.0	z a s t o s u j e m i2
niesmak	1.0	n i e s m a k
wakacje	1.0	v a k a c j e
towarzysząca	1.0	t o v a Z i2 S oc5 c a
polszczyzną	1.0	p o l S tS i2 z n oc5
microsoftu	1.0	m i c r o s o f t u
dokonany	1.0	d o k o n a n i2
spotkałam	1.0	s p o t k a w a m
przemawia	1.0	p S e m a v i a
szczątek	1.0	S tS oc5 t e k
realna	1.0	r e a l n a
dzieci	1.0	dzj e tsj i
dziewczynę	1.0	dzj e v tS i2 n e
bohra	1.0	b o h r a
zmienia	1.0	z m i e n i a
kremy	1.0	k r e m i2
historycznych	1.0	h j s t o r i2 tS n i2 h
pisanie	1.0	p i s a n i e
miecza	1.0	m i e tS a
rybacy	1.0	r i2 b a c i2
były	1.0	b i2 w i2
książki	1.0	k tsj oc5 Z k i
podejrzanego	1.0	p o d e j Z a n e g o
listu	1.0	l j s t u
najwięcej	1.0	n a j v i eo5 c e j
doświadczyłeś	1.0	d o sj v i a d tS i2 w e sj
np	1.0	n p
junacka	1.0	j u n a c k a
zanik	1.0	z a n i k
wyznań	1.0	v i2 z n a n~
koniec	1.0	k o n i e c
żółwia	1.0	Z u w v i a
żądny	1.0	Z oc5 d n i2
mego	1.0	m e g o
wojennych	1.0	v o j e n n i2 h
niezbędne	1.0	n i e z b eo5 d n e
biblioteką	1.0	b i b l j o t e k oc5
procedur	1.0	p r o c e d u r
hamburg	1.0	h a m b u r g
najnowszym	1.0	n a j n o v S i2 m
niepodzielne	1.0	n i e p o dzj e l n e
nauczaniem	1.0	n a u tS a n i e m
dokonywać	1.0	d o k o n i2 v a tsj
ludy	1.0	l u d i2
szary	1.0	S a r i2
raju	1.0	r a j u
różnorakie	1.0	r u Z n o r a k i e
są	1.0	s oc5
chodzić	1.0	h o dzj i tsj
metr	1.0	m e t r
pędzeni	1.0	p eo5 dz e n i
uścisk	1.0	u sj tsj i s k
przygotowuje	1.0	p S i2 g o t o v u j e
tajemnic	1.0	t a j e m n i c
rzucone	1.0	Z u c o n e
zagradza	1.0	z a g r a dz a
obejrzenia	1.0	o b e j Z e n i a
wyrazić	1.0	v i2 r a zj i tsj
stożkach	1.0	s t o Z k a h
rozpoczyna	1.0	r o z p o tS i2 n a
ejże	1.0	e j Z e
dziesiątym	1.0	dzj e tsj oc5 t i2 m
śpi	1.0	sj p i
początku	1.0	p o tS oc5 t k u
powinnaś	1.0	p o v i n n a sj
seryjni	1.0	s e r i2 j n i
morskiej	1.0	m o r s k i e j
osoba	1.0	o s o b a
rozprawy	1.0	r o z p r a v i2
przeszłość	1.0	p S e S w o sj tsj
skorzystać	1.0	s k o Z i2 s t a tsj
opiekować	1.0	o p i e k o v a tsj
filozofem	1.0	f i l o z o f e m
postrzegał	1.0	p o s t S e g a w
każe	1.0	k a Z e
dzieła	1.0	dzj e w a
przymusem	1.0	p S i2 m u s e m
koncert	1.0	k o n c e r t
szczerość	1.0	S tS e r o sj tsj
zeszłego	1.0	z e S w e g o
zadawałem	1.0	z a d a v a w e m
wami	1.0	v a m i
wzory	1.0	v z o r i2
wstążek	1.0	v s t oc5 Z e k
rodzą	1.0	r o dz oc5
przekroczy	1.0	p S e k r o tS i2
niekoniecznie	1.0	n i e k o n i e tS n i e
niezwyciężony	1.0	n i e z v i2 tsj eo5 Z o n i2
zainteresowań	1.0	z a i n t e r e s o v a n~
sakrament	1.0	s a k r a m e n t
wierzyć	1.0	v i e Z i2 tsj
odejść	1.0	o d e j sj tsj
zwątpili	1.0	z v oc5 t p i l j
delikatny	1.0	d e l j k a t n i2
dobry	1.0	d o b r i2
bunt	1.0	b u n t
pozorami	1.0	p o z o r a m i
widmo	1.0	v i d m o
niebawem	1.0	n i e b a v e m
samobójstwo	1.0	s a m o b u j s t f o
myśli	1.0	m i2 sj l j
realny	1.0	r e a l n i2
głównie	1.0	g w u v n i e
powodów	1.0	p o v o d u v
cokolwiek	1.0	c o k o l v i e k
wędrowca	1.0	v eo5 d r o v c a
pokolenia	1.0	p o k o l e n i a
celu	1.0	c e l u
wiec	1.0	v i e c
zastanawiałem	1.0	z a s t a n a v i a w e m
jasne	1.0	j a s n e
lewe	1.0	l e v e
użytkownicy	1.0	u Z i2 t k o v n i c i2
światło	1.0	sj v i a t w o
absurdalnych	1.0	a b s u r d a l n i2 h
zamknięciu	1.0	z a m k n i eo5 tsj u
dosłownie	1.0	d o s w o v n i e
przemyślnie	1.0	p S e m i2 sj l n i e
dociekania	1.0	d o tsj e k a n i a
patrzy	1.0	p a t S i2
ckosmo	1.0	c k o s m o
zakon	1.0	z a k o n
możliwość	1.0	m o Z l j v o sj tsj
atutów	1.0	a t u t u v
broni	1.0	b r o n i
postawi	1.0	p o s t a v i
zabrania	1.0	z a b r a n i a
nim	1.0	n i m
przykładzie	1.0	p S i2 k w a dzj e
niestrudzony	1.0	n i e s t r u dz o n i2
które	1.0	k t u r e
mieszkania	1.0	m i e S k a n i a
osiągnięte	1.0	o tsj oc5 g n i eo5 t e
inhalacji	1.0	i n h a l a c j i
potężniejszymi	1.0	p o t eo5 Z n i e j S i2 m i
systemowe	1.0	s i2 s t e m o v e
płciowym	1.0	p w tsj o v i2 m
usłyszeć	1.0	u s w i2 S e tsj
teraźniejszym	1.0	t e r a zj n i e j S i2 m
kobiecość	1.0	k o b i e c o sj tsj
momentu	1.0	m o m e n t u
pieniądze	1.0	p i e n i oc5 dz e
nieużytym	1.0	n i e u Z i2 t i2 m
cudach	1.0	c u d a h
szczególnych	1.0	S tS e g u l n i2 h
zleniwiały	1.0	z l e n i v i a w i2
zatrzymani	1.0	z a t S i2 m a n i
krzywego	1.0	k S i2 v e g o
gadacza	1.0	g a d a tS a
matek	1.0	m a t e k
wymówek	1.0	v i2 m u v e k
tożsamy	1.0	t o Z s a m i2
mistrzowie	1.0	m i s t S o v i e
wino	1.0	v i n o
rzeczywistości-	1.0	Z e tS i2 v i s t o sj tsj e
dostała	1.0	d o s t a w a
boku	1.0	b o k u
drgań	1.0	d r g a n~
praktyczne	1.0	p r a k t i2 tS n e
pieściłaś	1.0	p i e sj tsj i w a sj
mariesjew	1.0	m a r j e s j e v
tajnych	1.0	t a j n i2 h
rzeczywistość	1.0	Z e tS i2 v i s t o sj tsj
jakoby	1.0	j a k o b i2
całkiem	1.0	c a w k i e m
zdejmuj	1.0	z d e j m u j
postacie	1.0	p o s t a tsj e
położenia	1.0	p o w o Z e n i a
rozstrzygnąć	1.0	r o z s t S i2 g n oc5 tsj
przegranych	1.0	p S e g r a n i2 h
suwałk	1.0	s u v a w k
chętniej	1.0	h eo5 t n i e j
gończe	1.0	g o n~ tS e
jeszcze	1.0	j e S tS e
pirackich	1.0	p i r a c k i h
śmiercią	1.0	sj m i e r tsj i oc5
pospieszna	1.0	p o s p i e S n a
dużą	1.0	d u Z oc5
kafki	1.0	k a f k i
wolności	1.0	v o l n o sj tsj i
białe	1.0	b i a w e
pracę	1.0	p r a c e
francisco	1.0	f r a n tsj i s c o
manifesty	1.0	m a n i f e s t i2
umykało	1.0	u m i2 k a w o
poezja	1.0	p o e z j a
kupuję	1.0	k u p u j e
pracowicie	1.0	p r a c o v i tsj e
piętnastego	1.0	p i eo5 t n a s t e g o
pogardzie	1.0	p o g a r dzj e
ostatecznym	1.0	o s t a t e tS n i2 m
pomidorówki	1.0	p o m i d o r u v k i
świecie	1.0	sj v i e tsj e
zbiorowa	1.0	z b i o r o v a
ziemskim	1.0	zj e m s k i m
amerykańskie	1.0	a m e r i2 k a n~ s k i e
dziękuję	1.0	dzj eo5 k u j e
kilka	1.0	k i l k a
wyglądu	1.0	v i2 g l oc5 d u
metrów	1.0	m e t r u v
szła	1.0	S w a
2	1.0	d
poznaje	1.0	p o z n a j e
ogrodem	1.0	o g r o d e m
kobietę	1.0	k o b i e t e
jednostki	1.0	j e d n o s t k i
mnie	1.0	m n i e
minione	1.0	m i n i o n e
dochodzi	1.0	d o h o dzj i
protezy	1.0	p r o t e z i2
obiera	1.0	o b i e r a
otwory	1.0	o t f o r i2
powiekę	1.0	p o v i e k e
uwodzenia	1.0	u v o dz e n i a
pochłonięta	1.0	p o h w o n i eo5 t a
przychwycić	1.0	p S i2 h v i2 tsj i tsj
zasłanych	1.0	z a s w a n i2 h
działania	1.0	dzj a w a n i a
ziemianie	1.0	zj e m i a n i e
noc	1.0	n o c
jednolitej	1.0	j e d n o l j t e j
pantomimą	1.0	p a n t o m i m oc5
niech	1.0	n i e h
mówiłaś	1.0	m u v i w a sj
iż	1.0	i S
tytuły	1.0	t i2 t u w i2
zbuntowane	1.0	z b u n t o v a n e
spotykanej	1.0	s p o t i2 k a n e j
właśnie	1.0	v w a sj n i e
urzeczywistnia	1.0	u Z e tS i2 v i s t n i a
sytuacjom	1.0	s i2 t u a c j o m
wyruszy	1.0	v i2 r u S i2
b-17	1.0	b e o sj
stawiły	1.0	s t a v i w i2
spowodowane	1.0	s p o v o d o v a n e
panują	1.0	p a n u j oc5
bierze	1.0	b i e Z e
propozycje	1.0	p r o p o z i2 c j e
akceptację	1.0	a k c e p t a c j e
rozrywkach	1.0	r o z r i2 v k a h
każde	1.0	k a Z d e
ukochany	1.0	u k o h a n i2
kosiński	1.0	k o sj i n~ s k i
wprawdzie	1.0	v p r a v dzj e
wiecznym	1.0	v i e tS n i2 m
po	1.0	p o
chrześcijaństwo	1.0	h Z e sj tsj i j a n~ s t f o
lokomotywy	1.0	l o k o m o t i2 v i2
zaznajomienie	1.0	z a z n a j o m i e n i e
płaczącym	1.0	p w a tS oc5 c i2 m
wybijają	1.0	v i2 b i j a j oc5
dzieciom	1.0	dzj e tsj o m
brat	1.0	b r a t
lśniącymi	1.0	l sj n i oc5 c i2 m i
wskazywać	1.0	v s k a z i2 v a tsj
uważaliśmy	1.0	u v a Z a l j sj m i2
osiemdziesiątych	1.0	o sj e m dzj e tsj oc5 t i2 h
w	1.0	v
umie	1.0	u m i e
znużenia	1.0	z n u Z e n i a
leibnizu	1.0	l e i b n i z u
najlepiej	1.0	n a j l e p i e j
mawsu'at	1.0	m a v s u a t
żałobną	1.0	Z a w o b n oc5
krótkometrażowego	1.0	k r u t k o m e t r a Z o v e g o
więc	1.0	v i eo5 c
pomogło	1.0	p o m o g w o
zadaniem	1.0	z a d a n i e m
starożytnego	1.0	s t a r o Z i2 t n e g o
domatowa	1.0	d o m a t o v a
metafizyczny	1.0	m e t a f i z i2 tS n i2
store.britannica.com	1.0	s t o r e b r j t a n n i c a c o m
protestu	1.0	p r o t e s t u
nieoczekiwana	1.0	n i e o tS e k i v a n a
przejściowe	1.0	p S e j sj tsj o v e
przekroczyć	1.0	p S e k r o tS i2 tsj
straszliwe	1.0	s t r a S l j v e
ciekawej	1.0	tsj e k a v e j
staram	1.0	s t a r a m
777	1.0	sj e e
jakich	1.0	j a k i h
czai	1.0	tS a i
drobinkę	1.0	d r o b i n k e
chyba	1.0	h i2 b a
próbowałaś	1.0	p r u b o v a w a sj
własnego	1.0	v w a s n e g o
warstwie	1.0	v a r s t f i e
chciałby	1.0	h tsj a w b i2
powieściowe	1.0	p o v i e sj tsj o v e
chamfort	1.0	h a m f o r t
tango"-	1.0	t a n g o
radosna	1.0	r a d o s n a
warszawskiej	1.0	v a r S a v s k i e j
nazbyt	1.0	n a z b i2 t
er	1.0	e r
zaistnieć	1.0	z a i s t n i e tsj
bogiem	1.0	b o g i e m
rochefoucauld	1.0	r o h e f o u c a u l d
napisanego	1.0	n a p i s a n e g o
panny	1.0	p a n n i2
zbroje	1.0	z b r o j e
przyjemnością	1.0	p S i2 j e m n o sj tsj oc5
podlegającego	1.0	p o d l e g a j oc5 c e g o
wróżenia	1.0	v r u Z e n i a
polega	1.0	p o l e g a
li	1.0	l j
dobrych	1.0	d o b r i2 h
grupie	1.0	g r u p i e
czekającej	1.0	tS e k a j oc5 c e j
myśleć	1.0	m i2 sj l e tsj
tli	1.0	t l j
dot	1.0	d o t
jednak	1.0	j e d n a k
dosięgnął	1.0	d o sj eo5 g n oc5 w
pozorem	1.0	p o z o r e m
pochodach	1.0	p o h o d a h
rozmawiały	1.0	r o z m a v i a w i2
waliło	1.0	v a l j w o
robiłam	1.0	r o b i w a m
wybiera	1.0	v i2 b i e r a
samozachowawczy	1.0	s a m o z a h o v a v tS i2
nową	1.0	n o v oc5
prostu	1.0	p r o s t u
filtru	1.0	f i l t r u
kosmosie	1.0	k o s m o sj e
check	1.0	h e c k
zakazywać	1.0	z a k a z i2 v a tsj
imienia	1.0	i m i e n i a
przyjaciółmi	1.0	p S i2 j a tsj u w m i
idiotyczny	1.0	i d j o t i2 tS n i2
zarówno	1.0	z a r u v n o
wojskowych	1.0	v o j s k o v i2 h
cienkie	1.0	tsj e n k i e
jednakowoż	1.0	j e d n a k o v o S
92	1.0	eo5 tsj d
całkowicie	1.0	c a w k o v i tsj e
pisarskim	1.0	p i s a r s k i m
sumienia	1.0	s u m i e n i a
ukrywają	1.0	u k r i2 v a j oc5
uruchamiamy	1.0	u r u h a m i a m i2
prasie	1.0	p r a sj e
oko	1.0	o k o
nieruchomości	1.0	n i e r u h o m o sj tsj i
zyskały	1.0	z i2 s k a w i2
średnią	1.0	sj r e d n i oc5
narzeczona	1.0	n a Z e tS o n a
wiernych	1.0	v i e r n i2 h
wierzących	1.0	v i e Z oc5 c i2 h
hajduna	1.0	h a j d u n a
błyszczącym	1.0	b w i2 S tS oc5 c i2 m
oddaję	1.0	o d d a j e
leków	1.0	l e k u v
osobistego	1.0	o s o b i s t e g o
ukrytą	1.0	u k r i2 t oc5
luksusowa	1.0	l u k s u s o v a
otrzymane	1.0	o t S i2 m a n e
odwrót-	1.0	o d v r u t
przyczynę	1.0	p S i2 tS i2 n e
myślała	1.0	m i2 sj l a w a
artykuły	1.0	a r t i2 k u w i2
krainie	1.0	k r a i n i e
mówił	1.0	m u v i w
magnetofonów	1.0	m a g n e t o f o n u v
wariatki	1.0	v a r j a t k i
sportu	1.0	s p o r t u
tradycji	1.0	t r a d i2 c j i
zalewa	1.0	z a l e v a
williama	1.0	v i l l j a m a
przychodzi	1.0	p S i2 h o dzj i
dzięki	1.0	dzj eo5 k i
taktu	1.0	t a k t u
poobijanych	1.0	p o o b i j a n i2 h
czystą	1.0	tS i2 s t oc5
domowi	1.0	d o m o v i
zapędził	1.0	z a p eo5 dzj i w
praktycznym	1.0	p r a k t i2 tS n i2 m
burze	1.0	b u Z e
for	1.0	f o r
słuchamy	1.0	s w u h a m i2
głównych	1.0	g w u v n i2 h
zrozumieniem	1.0	z r o z u m i e n i e m
ponurej	1.0	p o n u r e j
twoimi	1.0	t f o i m i
stopami	1.0	s t o p a m i
kina	1.0	k i n a
cywilizacji	1.0	c i2 v i l j z a c j i
znalazła	1.0	z n a l a z w a
the	1.0	t h e
błędnymi	1.0	b w eo5 d n i2 m i
chwilka	1.0	h v i l k a
dodamy	1.0	d o d a m i2
jeździł	1.0	j e zj dzj i w
chin	1.0	h j n
zmarłego	1.0	z m a r w e g o
rzadkie!-	1.0	Z a t k i e e
zachować	1.0	z a h o v a tsj
piórami	1.0	p i u r a m i
stale	1.0	s t a l e
bonanzy	1.0	b o n a n z i2
herbaty	1.0	h e r b a t i2
homera	1.0	h o m e r a
planami	1.0	p l a n a m i
twojej	1.0	t f o j e j
owładnięta	1.0	o v w a d n i eo5 t a
